"sg_sistema","sg_subsistema","diagnostico","territorio","municipio_residencia","municipio_estabelecimento","estabelecimento","procedimento","quantidade","valor","cns","sexo","idade","ano","periodo","raca_cor","autorizacao","complexidade","financiamento","rubrica_faec","cep","etnia","natureza_juridica","peso","altura","carater_atendimento","gestao","desfecho","nascimento","profissional","gestante","outros_atributos"
SINANFINAIS,ANTR,id_agravo,id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_dose_1;dt_dose_2;dt_dose_3;dt_dose_4;dt_dose_5;dt_encerra;dt_notific;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus;dt_vac_1;dt_vac_2;dt_vac_3;dt_vac_4;dt_vac_5;dt_vencim,cs_raca,"","","","","","","",tra_peso,"","","","","","",cs_gestant,animal;ant_arranh;ant_cabeca;ant_contat;ant_dilace;ant_dt_exp;ant_lambed;ant_maos;ant_memb_1;ant_membro;ant_morded;ant_mucosa;ant_outro;ant_profun;ant_superf;ant_tronco;busca_ativ;condic_ani;cs_escol_n;doses;ferimento;fim_animal;herbiv_des;id_cns_sus;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;lab_sor_de;lab_soro;lab_vac_de;lab_vacina;lote_vac;nu_lote_h;nu_lote_v;observacao;outro_des;pos_expos;pre_expos;reacao_sor;reacao_vac;sem_not;sem_pri;sg_uf_not;tip_soro;tp_not;tra_antigo;tra_indi_n;tra_infi_1;tra_infilt;tra_interr;tra_motivo;tra_num_pa;tra_qtd_so;trat_atual
SINANFINAIS,BOTU,id_agravo,id_mn_resi;id_municip;mun_hosp;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_ali1col;dt_ali2col;dt_colout;dt_digita;dt_encerra;dt_invest;dt_liquor;dt_nasc;dt_notific;dt_obito;dt_sin_pri;dt_transdm;dt_transrs;dt_transse;dt_transsm;dt_transus;dt_trnasrm;dtalta;dtatend;dteletro;dtfezescol;dtinterna;dtsoro;dtsorocol;dtsuspeic,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,agente_out;criterio;cs_escol_n;doenca_tra;ds_ali1;ds_ali1out;ds_ali2;ds_ali2out;ds_fim_ges;ds_indus;ds_ingest;ds_ini_ges;ds_local1;ds_local2;ds_outr_lo;ds_outro;ds_outrosi;ds_pares;ds_trat;dsalimento;dscausalim;evolucao;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;mun_ing;nu_celula;nu_lote_h;nu_lote_v;nu_protei;nuatend;nuconsome;resalim1;resalimout;sem_not;sem_pri;sg_uf_not;st_ali1col;st_ali2col;st_ali2res;stalimento;stantibio;stantibotu;stboca;stbromato;stbulbar;stcardiaca;stcaseira;stcefaleia;stclinica;stcoma;stcomercio;stconstipa;stdescende;stdiarreia;stdiplopia;stdisartri;stdisfagia;stdisfonia;stdispneia;stdomicili;steletro;stescola;stexpalim;stfacial;stfebre;stferiment;stfesta;stfezesmat;stfezesres;stflacidez;sthospital;stmeminf;stmemsup;stmidriase;stnausea;stoftalmo;stoutroloc;stoutrosin;stoutrotra;stparestes;stptose;strespira;strestaura;stsensivel;stsimetric;stsoro;stsoromat;stsorores;sttontura;sttrabalho;stventila;stvisao;stvomito;tp_ali1tox;tp_ali2to;tp_colout;tp_liquor;tp_motora;tp_not;tp_repete;tp_sensiti;tp_toxoutr;tpbotulism;tpbromato;tpclinica;tpfezestox;tpneuro;tpsorotox;uf_hosp;uf_ing
SINANFINAIS,CANC,diag_esp;id_agravo,id_mn_resi;id_municip;mun_emp;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_diag;dt_digita;dt_notific;dt_obito;dt_transdm;dt_transrs;dt_transse;dt_transsm;dt_transus;dt_trnasrm,cs_raca,"","","","","","","","","","","","","","",cs_gestant,alcatrao;amina;asbesto;benzeno;berilio;cadmio;cat;cnae;cromo;cs_escol_n;evolucao;fuma;hidrocarbo;hormonio;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;ionizantes;nao_ioniza;neoplasico;niquel;nu_lote_h;nu_lote_v;nutempo;nutemporis;oleos;out_exp_de;outro_exp;regime;sem_diag;sem_not;sg_uf_not;silica;sit_trab;tempo_fuma;terceiriza;tp_not;tp_temp_fu;tptempo;tptemporis;trab_doe;uf_emp
SINANFINAIS,CHAG,id_agravo;xenodiag,comuninf;coufinf;id_mn_resi;id_municip;mun_1;mun_2;mun_3;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_col_dir;dt_col_ind;dt_col_s1;dt_col_s2;dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,afirmativo;anorexia;ant_dt_inv;ant_uf_1;ant_uf_2;ant_uf_3;arritmias;assintoma;astenia;aumento;biosseg;cefaleia;chagoma;con_classi;con_criter;con_doenca;con_dt_enc;con_dt_obi;con_evoluc;con_inf_mu;con_inf_ou;con_inf_pa;con_inf_uf;con_infecc;con_local;con_outra;con_provav;con_triat;confirmad;controle;copaisinf;criterio;cs_escol_n;cs_escolar;doenca_tra;dosagem;droga;duracao;ecg;ecg_result;edema;eli_igg_s1;eli_igg_s2;eli_igm_s1;eli_igm_s2;elisa;especifico;esplenom;evolucao;exame;febre;fiscaliza;ganglios;hem_igg_s1;hem_igg_s2;hem_igm_s1;hem_igm_s2;hemo;hemocult;hepaesple;hepatome;hiporexia;historia;id_dg_not;id_ev_not;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;implanta;imu_igg_s1;imu_igg_s2;imu_igm_s1;imu_igm_s2;imuno;in_vincula;inespecif;maechaga;manipula;med_contr;med_outro;meningoe;micro_hema;nduplic;nduplic_n;nu_idade;nu_lote_h;nu_lote_v;ocupacao;oral;outro;outro_des;outro_esp;outro_sin;parasito;poliadeno;presenca;quantos;rai_result;raiox;recemnasc;res_hist;resul_his;sem_not;sem_pri;sg_uf_not;sinais;sinais_icc;sintomatic;suspeitos;tempo;tit_igg_s1;tit_igg_s2;tit_igm_s1;tit_igm_s2;tp_not;tpautocto
SINANFINAIS,CHIK,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;municipio;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,nu_ano,dt_alrm;dt_chik_s1;dt_chik_s2;dt_encerra;dt_grav;dt_interna;dt_invest;dt_notific;dt_ns1;dt_obito;dt_pcr;dt_prnt;dt_sin_pri;dt_soro;dt_viral,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,acido_pept;alrm_abdom;alrm_hemat;alrm_hepat;alrm_hipot;alrm_letar;alrm_liq;alrm_plaq;alrm_sang;alrm_vom;artralgia;artrite;auto_imune;cefaleia;clinc_chik;complica;con_fhd;conjuntvit;copaisinf;criterio;cs_escol_n;cs_flxret;cs_suspeit;diabetes;doenca_tra;dor_costas;dor_retro;epistaxe;evidencia;evolucao;exantema;febre;flxrecebi;gengivo;grav_ast;grav_consc;grav_conv;grav_ench;grav_extre;grav_hemat;grav_hipot;grav_insuf;grav_melen;grav_metro;grav_mioc;grav_orgao;grav_pulso;grav_sang;grav_taqui;hematolog;hematura;hepatopat;hipertensa;histopa_n;hospitaliz;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;imunoh_n;in_vincula;laco;laco_n;leucopenia;mani_hemor;metro;mialgia;nausea;nduplic_n;petequia_n;petequias;plaq_menor;plasmatico;renal;res_chiks1;res_chiks2;resul_ns1;resul_pcr;resul_prnt;resul_soro;resul_vi_n;sangram;sem_not;sem_pri;sg_uf_not;sorotipo;tp_not;tp_sistema;tpautocto;tpuninot;uf;vomito
SINANFINAIS,COLE,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;mun_des1;mun_des2;mun_des3;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,nu_ano,dt_atendim;dt_coleta;dt_desc1;dt_desc2;dt_desc3;dt_digita;dt_encerra;dt_interna;dt_invest;dt_nasc;dt_notific;dt_obito;dt_sin_pri,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,antib_des;co_uf_des1;co_uf_des2;co_uf_des3;codisinf;copaisinf;criterio;cs_antib;cs_antib_t;cs_assinto;cs_caimbra;cs_choque;cs_desit;cs_diarre;cs_dor;cs_escol_n;cs_febre;cs_frequen;cs_materia;cs_muco;cs_neg_esp;cs_positiv;cs_reidrat;cs_resulta;cs_sangue;cs_tipo;cs_vomito;cs_vomitos;doenca_tra;ds_trans1;ds_trans2;ds_trans3;evolucao;fc_cont_de;fc_contato;id_ocupa_n;id_pais;id_regiona;id_rg_resi;nm_antibio;nm_munic_h;out_vincul;pa_des1;pa_des2;pa_des3;sem_not;sem_pri;sg_uf_not;tip_diarre;tp_not;tpautocto;uf_hospita;vinculo
SINANFINAIS,COQU,id_agravo,cod_mun_ho;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_adm_ant;dt_catarra;dt_coleta;dt_digita;dt_encerra;dt_interna;dt_invest;dt_notific;dt_obito;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus;dt_ult_dos,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,ant_sentin;cod_uf_hos;colet_comu;criterio;cs_antibio;cs_apneia;cs_cianose;cs_coleta;cs_crise;cs_cultura;cs_desitra;cs_desnutr;cs_encefal;cs_escol_n;cs_flxret;cs_hospita;cs_otite;cs_out_com;cs_out_sin;cs_pneumon;cs_temp37;cs_temp_38;cs_tosse_e;cs_tosse_p;cs_vac_n;cs_vomitos;doenca_tra;evolucao;fc_contato;flxrecebi;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;med_bloque;med_caso_s;med_iden_c;med_quan_c;migrado_w;nduplic_n;nm_out_com;nm_out_sin;nu_lote_h;nu_lote_i;nu_lote_v;out_contat;quan_comun;quan_posit;sem_not;sem_pri;sg_uf_not;tp_not
SINANFINAIS,DCRJ,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_sin_pri,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,copaisinf;criterio;cs_escol_n;doenca_tra;evolucao;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;in_vincula;nduplic_n;sem_not;sem_pri;sg_uf_not;tp_not;tp_sistema;tpautocto;tpuninot
SINANFINAIS,DENG,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;municipio;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano;nu_ano,dt_alrm;dt_chik_s1;dt_chik_s2;dt_choque;dt_col_he2;dt_col_hem;dt_col_pl2;dt_col_plq;dt_digita;dt_dose;dt_encerra;dt_febre;dt_grav;dt_interna;dt_invest;dt_nasc;dt_notific;dt_ns1;dt_obito;dt_pcr;dt_prnt;dt_sin_pri;dt_soro;dt_soro1;dt_soro2;dt_soror1;dt_soror2;dt_viral,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,abdominal;acido_pept;alrm_abdom;alrm_hemat;alrm_hepat;alrm_hipot;alrm_letar;alrm_liq;alrm_plaq;alrm_sang;alrm_vom;amos_out;amos_pcr;ant_dt_inv;artralgia;artrite;ascite;auto_imune;cefaleia;choque;clinc_chik;complica;con_classi;con_criter;con_doenca;con_dt_enc;con_dt_obi;con_evoluc;con_fhd;con_inf_mu;con_inf_pa;con_inf_uf;conjuntvit;copaisinf;criterio;cs_escol_n;cs_escolar;cs_flxret;dengue;diabetes;diarreia;doenca_tra;dor;dor_costas;dor_retro;duracao;epistaxe;evidencia;evolucao;exantema;febre;flxrecebi;gengivo;grav_ast;grav_consc;grav_conv;grav_ench;grav_extre;grav_hemat;grav_hipot;grav_insuf;grav_melen;grav_metro;grav_mioc;grav_orgao;grav_pulso;grav_sang;grav_taqui;hema_maior;hema_menor;hematolog;hematura;hepato;hepatopat;hipertensa;hipotensao;histopa;histopa_n;hospitaliz;id_dg_not;id_ev_not;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;imunoh;imunoh_n;in_aids;in_vincula;insuficien;laco;laco_n;leucopenia;mani_hemor;manifesta;material;metro;mialgia;migrado_w;miocardi;nausea;nauseas;nduplic;nduplic_n;nu_idade;ocupacao;outro_s;outro_s_d;outros;outros_m;outros_m_d;palq_maior;pericardi;petequia_n;petequias;plaq_menor;plasmatico;pleural;prostacao;renal;res_chiks1;res_chiks2;resul_ns1;resul_out;resul_pcr;resul_prnt;resul_soro;resul_vi_n;resul_vira;s1_igg;s1_igm;s1_tit1;s2_igg;s2_igm;s2_tit1;sangram;sem_not;sem_pri;sg_uf_not;sin_out;soro1;soro2;sorotipo;tecidos;tecnica;tp_not;tp_sistema;tpautocto;uf;vacinado;vomito
SINANFINAIS,DERM,diag_esp;id_agravo,id_mn_resi;id_municip;mun_emp;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_diag;dt_nasc;dt_notific;dt_obito,cs_raca,"","","","","","","","","","","","","","",cs_gestant,afast_risc;afast_trab;afastament;agente;agente_des;agravo_des;asma;cat;cnae;coletiva;condut_des;conduta;cs_escol_n;diabetes;epicuta;evol_afast;evolucao;hanseniase;hiperten;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;individual;lesao;lesao_des;mental;muda_trab;nenhum;nu_afast;nu_lote_i;nutempo;nutemporis;out_agravo;regime;sem_diag;sem_not;sg_uf_not;sit_trab;terceiriza;tp_afast;tp_not;tptempo;tptemporis;trab_doe;tube;uf_emp
SINANFINAIS,DIFT,id_agravo,ate_munici;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,ant_dos_n;ant_outros;ant_tipoco;ant_ulti_d;ate_hospit;ate_intern;ate_uf_int;cli_amigda;cli_arritm;cli_cavida;cli_condut;cli_conjun;cli_cordao;cli_edemag;cli_especi;cli_faring;cli_febre;cli_laring;cli_miocar;cli_nefrit;cli_orgaos;cli_outras;cli_palato;cli_palide;cli_paralb;cli_paralm;cli_paralp;cli_pele;cli_pescoc;cli_prostr;cli_pseudo;cli_temper;cli_traque;criterio;cs_escol_n;cs_flxret;doenca_tra;evolucao;flxrecebi;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;lab_cultur;lab_data_c;lab_mate_n;lab_provas;med_caso_s;med_iden_c;med_materi;med_preven;med_quan_c;med_quan_m;med_quan_p;migrado_w;nduplic_n;nu_lote_h;nu_lote_i;nu_lote_v;sem_not;sem_pri;sg_uf_not;tp_not;tra_antibi;tra_data_a;tra_data_s
SINANFINAIS,ESPO,"",id_municip,"",id_municip,"","","","","","","",nu_ano,dt_digita;dt_ini_epi;dt_notific,"","","","","","","","","","","","","","","","",c_d;c_m;ds_out_amb;especie;g_d;g_m;id_notific;sem_not;sem_pri;sg_uf_not;tp_amb_oco;tp_zn_oco
SINANFINAIS,ESQU,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_copro;dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_resu3;dt_sin_pri;dt_transdm;dt_transrs;dt_transse;dt_transsm;dt_transus;dttrat,cs_raca,"","","","","","","","","","","","","","",cs_gestant,an_quali;an_quant;copaisinf;cs_escol_n;doenca_tra;ds_forma;evolucao;forma;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;nocolinf;nopropin;outro_ex;outros;sem_not;sem_pri;sg_uf_not;stcura1;stcura2;stcura3;tp_not;tpautocto;tratam;tratanao
SINANFINAIS,FMAC,id_agravo,comunhosp;comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_coleta;dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transus;dtalta;dtinterna;dts1;dts2,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,abdominal;agente;ambiente;anim_esp;bovino;cao_gato;capivara;carrapato;cefaleia;choque;codisinf;coma;convulsao;copaisinf;coufhosp;criterio;cs_escol_n;diag_desca;diagno_lab;diarreia;doenca_tra;equinos;evolucao;exantema;febre;foi_mata;hemorrag;hemorragi;hepatome;hiperemia;histopato;hospital;ictericia;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;ident_micr;igg_s1;igg_s2;igm_s1;igm_s2;imunohist;isolamento;linfadeno;mialgia;nausea;necrose;nu_lote_h;nu_lote_v;oliguria;outro_esp;outroani;outros;petequias;prostacao;respirato;sem_not;sem_pri;sg_uf_not;tit_igg_s1;tit_igg_s2;tit_igm_s1;tit_igm_s2;tp_not;tpautocto;zona
SINANFINAIS,FTIF,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;mun_des1;mun_des2;mun_des3;municipio;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_atende;dt_copro1;dt_copro2;dt_copro3;dt_desc1;dt_desc2;dt_desc3;dt_digita;dt_encerra;dt_hemo1;dt_hemo2;dt_hemo3;dt_invest;dt_notific;dt_obito;dt_outr1;dt_outr2;dt_outr3;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus;dt_uro;dt_uro2;dt_uro3,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,ampicilina;ant_out_d;ant_outr;antibiotic;assintomat;astenia;atendiment;cefaleia;clorafen;co_uf_des1;co_uf_des2;co_uf_des3;comp_out;comp_out_d;constipa;cont_out;contato;copaisinf;copro_d_1;copro_d_2;copro_d_3;copro_r1;copro_r2;copro_r3;criterio;cs_escol_n;diarreia;dias;doenca_tra;dor;ds_trans1;ds_trans2;ds_trans3;entero;espleno;evolucao;febre;fezes;hemo_d_1;hemo_d_2;hemo_d_3;hemo_r1;hemo_r2;hemo_r3;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;nauseas;nu_lote_h;nu_lote_i;nu_lote_v;outr_d1;outr_d2;outr_d3;outr_r1;outr_r2;outr_r3;pa_des1;pa_des2;pa_des3;perfura;pulso;quinolona;sangue;sem_not;sem_pri;sg_uf_not;suge_vincu;sulfa;tifica;tosse;tp_not;tpautocto;uf;urina;uro_d;uro_d_2;uro_d_3;uro_r1;uro_r2;uro_r3;vinc_out;vomitos
SINANFINAIS,HANS,id_agravo,id_mn_resi;id_muni_at;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_diag;dt_digita;dt_noti_at;dt_notific;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus;dtalta_n;dtinictrat;dtmudesq;dtultcomp,cs_raca,"","","","","","","","","","","","","","",cs_gestant,aval_atu_n;avalia_n;baciloscop;classatual;classopera;contexam;contreg;cs_escol_n;cs_flxret;dose_receb;epis_racio;esq_atu_n;esq_ini_n;flxrecebi;formaclini;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unid_at;id_unidade;in_vincula;migrado_w;mododetect;modoentr;muniresat;nduplic_n;nervosafet;nu_lesoes;nu_lote_h;nu_lote_ia;nu_lote_v;sem_diag;sg_uf_not;tp_not;tpalta_n;ufatual;ufresat
SINANFINAIS,HANT,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_dt_sin;ano_nasc;nu_ano,dt_col_igm;dt_digita;dt_encerra;dt_evoluc;dt_invest;dt_notific;dt_rtpcr;dt_sin_pri;dtdiasinac,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,am_sangue;ant_aragem;ant_arrumo;ant_colhei;ant_contat;ant_corte;ant_desmat;ant_dt_inv;ant_exposi;ant_lazer;ant_limpez;ant_moagem;ant_ocupac;ant_planti;ant_roedor;cli_abdomi;cli_angust;cli_asteni;cli_cardia;cli_cefale;cli_choque;cli_diarre;cli_dispne;cli_dt_ate;cli_febre;cli_gargan;cli_h;cli_h_desc;cli_hemo;cli_hipote;cli_lombar;cli_mial_d;cli_mial_g;cli_mialgi;cli_munici;cli_neurol;cli_out_d;cli_outros;cli_petequ;cli_renal;cli_respi;cli_rinorr;cli_tontur;cli_toraci;cli_tosse;cli_vomito;con_amb_de;con_ambien;con_area;con_autops;con_criter;con_diag_d;con_diagno;con_doenca;con_dt_enc;con_dt_obi;con_evoluc;con_forma;con_inf_pa;con_local2;con_locali;conf_inf_m;conf_inf_u;copaisinf;criterio;cs_escol_n;cs_escolar;cs_suspeit;desmata_n;doenca_tra;dormiu_n;evolucao;expo_n;id_dg_not;id_ev_not;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;lab_atipic;lab_bilate;lab_colheu;lab_derram;lab_difuso;lab_hema_n;lab_hemato;lab_histop;lab_igg;lab_igg_r;lab_igm;lab_igm_r;lab_imuno;lab_l_c_de;lab_l_out;lab_l_s_de;lab_leuc_n;lab_local;lab_micron;lab_out_d;lab_out_e;lab_outro;lab_radiol;lab_realiz;lab_res_b;lab_rtpcr;lab_tgo;lab_tgo_d;lab_tgp;lab_tgp_d;lab_trombo;lab_ureia;moagem_n;nu_idade;outr_ati_d;outra_ativ;pescou_n;roedor_n;sem_not;sem_pri;sg_uf_not;tp_not;tpautocto;tra_antibi;tra_antivi;tra_cortic;tra_cpap;tra_dt_alt;tra_dt_int;tra_especi;tra_hosp;tra_mecani;tra_munici;tra_tratam;tra_uf;tra_vasoat;transpo_n;treina_mil
SINANFINAIS,IEXO,id_agravo,id_mn_resi;id_municip;mun_emp;mun_hosp;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_encerra;dt_invest;dt_nasc;dt_notific;dt_obito;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus;dtinterna,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,agente_1;agente_2;agente_3;agente_tox;ativida_1;ativida_2;ativida_3;cat;circun_des;circunstan;cnae;coagtoxma1;coagtoxma2;coagtoxma3;criterio;cs_escol_n;diag_conf;doenca_tra;evolucao;hospital;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;lavoura;loc_exp_de;loc_expo;nu_lote_h;nu_lote_i;nu_lote_v;nutempo;out_agente;p_ativo_1;p_ativo_2;p_ativo_3;pais_exp;sem_not;sem_pri;sg_uf_not;sit_trab;tp_not;tpatende;tpexp;tptempo;trab_desc;uf_emp;uf_hosp;util_desc;utilizacao;via_1;via_2;via_3
SINANFINAIS,LEIV,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_deslc1;dt_deslc2;dt_deslc3;dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_sin_pri,cs_raca,"","","","","","","",peso,"","","",classi_fin,"","",cs_gestant,ampolas;ant_dt_inv;baco;caso;co_pais_1;co_pais_2;co_pais_3;co_uf_1;co_uf_2;co_uf_3;con_classi;con_doenca;con_dt_enc;con_dt_obi;con_evoluc;con_inf_ba;con_inf_di;con_inf_mu;con_inf_ou;con_inf_pa;con_inf_uf;copaisinf;criterio;cs_escol_n;cs_escolar;cs_flxret;diag_par_n;diag_para;doenca_tra;dose;doses;droga;ds_mun_1;ds_mun_2;ds_mun_3;ds_trans_1;ds_trans_2;duracao;edema;elisa;emagra;endemico;entrada;evolucao;falencia;febre;fen_hemorr;figado;flxrecebi;fraqueza;hiv;ictericia;id_dg_not;id_ev_not;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;ifi;infeccioso;migrado_w;nduplic_n;nu_idade;ocupacao;outras;outro;outros;outros_esp;palidez;sem_not;sem_pri;sg_uf_not;tosse;tp_not;tpautocto;tratamento;tube
SINANFINAIS,LEPT,id_agravo,ate_munici;co_mun_r1;co_mun_r2;co_mun_r3;co_mun_r4;comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_pcr;dt_risco1;dt_risco2;dt_risco3;dt_risco4;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus;dtimuno;dtisola;dtmicro1;dtmicro2,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,ant_animai;ant_cb_cai;ant_cb_car;ant_cb_cor;ant_cb_cri;ant_cb_fos;ant_cb_gra;ant_cb_lam;ant_cb_lav;ant_cb_lim;ant_cb_lix;ant_cb_out;ant_cb_pla;ant_cb_roe;ant_cb_sin;ant_cb_ter;ant_dt_inv;ant_humano;ant_ocupac;ant_ou_des;ate_dt_alt;ate_dt_int;ate_hosp;ate_uf;cli_cardia;cli_cefale;cli_conges;cli_desc_o;cli_diarre;cli_dt_ate;cli_febre;cli_hemopu;cli_hemorr;cli_icteri;cli_mening;cli_mialgi;cli_otrdes;cli_outras;cli_outros;cli_pantur;cli_prost;cli_renal;cli_respir;cli_vomito;co_uf_r1;co_uf_r2;co_uf_r3;co_uf_r4;con_alimen;con_ambien;con_animai;con_area;con_clas_e;con_classi;con_criter;con_doenca;con_dt_enc;con_dt_obi;con_enchen;con_entulh;con_esgoto;con_evoluc;con_inf_mu;con_inf_pa;con_inf_uf;con_rio;con_roedor;con_terren;copaisinf;criterio;cs_escol_n;cs_escolar;cs_flxret;cs_zona;doenca_tra;evolucao;flxrecebi;id_dg_not;id_dt_resi;id_ev_not;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;in_vincula;lab_bd;lab_bi;lab_bt;lab_creati;lab_dt_1;lab_dt_2;lab_dt_3;lab_elis_1;lab_elis_2;lab_macro;lab_met_d;lab_metodo;lab_micr_1;lab_micr_2;lab_micro;lab_plaque;lab_potass;lab_r_1;lab_r_2;lab_s_1;lab_s_2;lab_s_3;lab_s_4;lab_s_5;lab_soroag;lab_tgo;lab_tgp;lab_uf;lab_ureia;micro1_s1;micro1_s_2;micro1_t_1;micro1_t_2;micro2_s1;micro2_s_2;micro2_t_1;micro2_t_2;migrado_w;nduplic;nduplic_n;nu_idade;nu_lote_h;nu_lote_i;nu_lote_v;res_imuno;res_isol;res_pcr;sem_not;sem_pri;sg_uf_not;tp_not;tpautocto
